Subject,Repository,Organization,Description,Primary Language,All Languages,Build System,Archived,Size (KB),Internal Dependencies,Dependency Evidence,Build Files,Topics,Error
openclaw/lobster,openclaw/lobster,openclaw,"Lobster is a lightweight, extensible, and friendly tool for creating beautiful documentation.",TypeScript,"TypeScript:99%,JavaScript:1%",package.json,,133,none,package.json dependencies,".gitignore,.oxlintrc.json,CHANGELOG.md,LICENSE,README.md,VISION.md,bin,package.json,pnpm-lock.yaml,src,test,tsconfig.json",none,
openclaw/multipass,openclaw/multipass,openclaw,Standalone CLI for deterministic messaging provider E2E tests,TypeScript,"TypeScript:99.9%,JavaScript:0.1%",package.json,,120,none,package.json,".github,.gitignore,.oxfmtrc.json,.oxlintrc.json,LICENSE,README.md,fixtures,package.json,pnpm-lock.yaml,src,test,tsconfig.json,vitest.config.ts",none,
openclaw/nix-openclaw,openclaw/nix-openclaw,openclaw,nix-openclaw: declarative OpenClaw packaging,Nix,"Nix:91%,Shell:6%,TypeScript:2%,JavaScript:1%,Python:0%",none,,4558,nix-steipete-tools,flake.nix inputs,flake.nix,"clawdis,nix",
openclaw/nix-steipete-tools,openclaw/nix-steipete-tools,openclaw,Nix packaging for steipete tools (clawdbot),Nix,"Nix:67%,Go:33%",mixed,,123,none,No internal dependencies found in flake.nix or go.mod,"flake.nix,go.mod",none,
openclaw/openclaw,openclaw/openclaw,openclaw,A personal AI assistant that puts you in control of your own data and destiny.,TypeScript,"TypeScript:87%,Swift:8%,Kotlin:2%,Shell:1%,JavaScript:1%",package.json,,297556,none,package.json,"package.json,pnpm-lock.yaml,pyproject.toml,tsconfig.json,Dockerfile","ai,assistant,crustacean,molty,openclaw,own-your-data,personal",
openclaw/openclaw-ansible,openclaw/openclaw-ansible,openclaw,Ansible playbook for deploying OpenCog.,Shell,"Shell:58%,Jinja:42%",none,,130,none,Parsed requirements.yml,"playbook.yml,requirements.yml",none,
openclaw/openclaw-windows-node,openclaw/openclaw-windows-node,openclaw,"OpenClaw client for Windows - system tray, real-time gateway, and native integrations.",C#,"C#:98%,PowerShell:1%,Inno Setup:1%",none,,664,none,Dependencies were detected by inspecting .csproj files for <PackageReference> and <ProjectReference> tags.,"build.ps1,moltbot-windows-hub.slnx",none,
openclaw/openclaw.ai,openclaw/openclaw.ai,openclaw,"Official website for OpenClaw, an open-source AI assistant.",Astro,"Astro:70%,Shell:24%,PowerShell:5%",package.json,,1559,none,package.json,"package.json,astro.config.mjs,bun.lock,tsconfig.json,vercel.json","ai,assistant,bot,molt,molty,website",
openclaw/skills,openclaw/skills,openclaw,OpenClaw Skills,Python,"Python:51%,JavaScript:22%,Shell:11%,TypeScript:9%,HTML:3%",none,,451954,none,No build files found.,none,"archive,backup,clawhub,openclaw,skill",
openclaw/trust,openclaw/trust,openclaw,Trust and reputation for the OpenCog ecosystem,none,,none,,11,none,No build files found,"CONTRIBUTING.md,README.md,threats.yaml",,
openclaw/voice-community,openclaw/voice-community,openclaw,"Community extras for OpenCog. A place for community members to contribute scripts, configurations, and other useful bits and pieces that don't belong in the main OpenCog repositories.",none,,none,,,none,none,,,
